ECON4A,ECON4B,HHINCOME,EDUCATION,AGE7,SU_ID
5,5,4,3,6,21132460
4,3,2,5,4,21134369
5,5,2,3,5,21141770
3,3,3,6,3,21143455
2,2,6,5,1,21144997
1,1,8,7,4,21146006
5,5,2,4,3,21152217
4,3,8,5,5,21154739
1,1,5,5,4,21156289
4,4,9,6,4,21162793
5,5,6,6,5,21166626
2,1,6,5,6,21169739
2,2,8,7,2,21171887
5,5,6,3,5,21174314
5,5,8,6,6,21175520
2,1,7,6,6,21179140
1,1,6,5,2,21179762
1,1,8,2,6,21181872
1,1,5,2,2,21182563
1,1,8,7,5,21188236
5,5,7,4,5,21189391
2,2,6,5,1,21192439
4,4,3,2,3,21193446
1,2,3,3,4,21194712
1,1,7,7,5,21196136
2,2,9,5,5,21201803
1,1,7,6,2,21203401
1,1,4,5,6,21211429
5,5,8,6,4,21211839
1,1,8,5,3,21212944
1,1,7,6,4,21213337
5,5,2,5,6,21213579
5,5,3,5,6,21216854
5,5,6,5,7,21219206
1,1,9,7,3,21219379
2,4,9,3,1,21224293
4,3,9,6,3,21226316
5,5,6,5,7,21229257
5,5,7,5,5,21233598
1,1,8,6,2,21235815
5,5,2,5,4,21236899
5,5,4,2,6,21238804
1,1,8,6,2,21242158
5,5,3,5,6,21242882
1,1,8,4,5,21247020
5,5,2,3,7,21247218
5,5,2,4,7,21249035
1,1,9,5,4,21250443
1,1,3,2,1,21255843
3,1,9,3,1,21258391
1,1,9,7,3,21261917
5,5,2,7,4,21261956
1,1,8,3,3,21265142
1,1,9,6,4,21265391
1,1,6,6,6,21271386
5,5,6,3,6,21272240
2,2,8,5,6,21273374
1,1,9,6,4,21274988
2,2,5,3,3,21284832
3,3,6,5,4,21286554
5,5,3,5,5,21287935
5,5,8,3,7,21292122
3,4,1,3,3,21292475
5,5,2,4,5,21292581
3,2,4,5,1,21292900
5,5,1,3,7,21296070
4,3,1,1,2,21296135
2,2,8,5,2,21296583
5,5,7,7,6,21298247
1,1,9,4,5,21300681
1,1,8,3,5,21304195
3,3,1,2,1,21304537
1,1,6,2,1,21308679
1,1,4,6,4,21311422
1,1,9,6,5,21311909
2,1,2,3,2,21313182
2,2,6,6,4,21314645
2,3,8,3,5,21318007
5,5,6,6,6,21319630
5,5,9,6,6,21321063
5,5,6,4,6,21322007
2,2,4,4,3,21323017
1,2,8,6,3,21324785
5,5,4,2,6,21325585
5,5,6,6,6,21326164
3,3,4,2,5,21326328
1,1,9,5,5,21327436
5,5,7,5,6,21327856
1,1,6,4,5,21330623
1,1,8,6,2,21336640
1,1,6,5,3,21336879
1,1,6,7,3,21338562
5,5,6,3,6,21339297
5,5,8,7,6,21345001
3,3,3,3,6,21345457
5,5,9,5,5,21348925
5,5,8,6,6,21349459
2,2,9,5,5,21352093
1,1,6,5,4,21352606
4,3,5,6,6,21352990
4,3,5,4,6,21353405
5,5,7,5,7,21355748
3,2,7,2,1,21359003
1,1,9,6,4,21361615
1,1,7,7,6,21363234
4,3,7,6,4,21364591
1,1,1,5,3,21366207
5,5,6,5,5,21366889
5,5,9,6,7,21367220
1,1,9,5,5,21370147
5,5,6,2,4,21370577
5,2,2,5,2,21376172
1,1,5,6,7,21376520
1,1,8,6,4,21378766
2,1,6,1,5,21380824
2,2,5,2,4,21386078
1,1,5,5,2,21387691
5,5,2,5,5,21391368
3,1,8,3,1,21391944
3,3,2,3,4,21398020
5,3,7,5,3,21401456
5,5,9,7,5,21401772
5,5,7,6,7,21403546
3,3,7,6,2,21405007
4,3,8,6,2,21406000
1,1,8,5,5,21406649
4,5,8,6,6,21406662
2,2,8,5,3,21409170
3,3,2,3,5,21409586
3,3,8,3,1,21409835
5,4,6,7,5,21410892
1,1,8,6,3,21411035
5,5,7,4,6,21414684
2,2,6,3,2,21415098
1,1,6,5,6,21415528
2,2,2,3,3,21416092
2,2,4,2,2,21418643
2,1,6,2,5,21421250
5,5,8,5,6,21422875
5,5,9,5,5,21423237
2,2,4,5,2,21426307
1,1,8,6,3,21426736
1,1,6,5,2,21429012
1,1,2,7,4,21433327
5,5,4,5,6,21435041
4,4,6,3,5,21437010
1,1,8,6,5,21437911
5,5,6,5,7,21439427
3,3,6,3,4,21439747
1,1,8,3,3,21439901
1,1,4,3,6,21441198
1,1,7,3,3,21442655
5,5,6,2,7,21443305
2,2,9,7,7,21443672
5,4,4,6,7,21444576
5,5,8,7,6,21448248
3,3,2,2,4,21451909
2,2,8,5,5,21453688
3,3,1,4,2,21453723
3,2,7,6,5,21458903
5,5,8,5,2,21463336
3,3,1,7,5,21463607
2,2,6,6,4,21463889
1,1,6,4,5,21465210
5,5,4,4,7,21466616
3,3,1,5,3,21469479
3,2,2,3,3,21470395
2,2,8,5,4,21470640
5,5,5,6,7,21471755
5,5,7,5,5,21471851
5,5,3,3,7,21473852
2,2,7,5,2,21477243
5,5,6,3,6,21477802
3,2,5,5,3,21478140
1,1,9,7,5,21481786
4,2,3,4,1,21484298
5,5,4,2,5,21487050
1,2,9,5,3,21490406
5,5,3,5,5,21493359
5,5,1,1,2,21493410
1,1,8,5,5,21494571
4,4,4,7,4,21495788
1,1,9,5,5,21495849
2,2,7,2,5,21499692
1,1,8,5,4,21500505
2,2,4,5,4,21501859
1,1,3,6,2,21504219
1,1,6,6,2,21504452
5,5,5,5,7,21505887
4,5,6,5,7,21507584
5,5,6,6,7,21507688
1,1,8,5,5,21507825
1,1,4,6,3,21508898
1,1,9,3,5,21511837
5,5,3,5,6,21513382
2,2,6,5,1,21514252
1,1,7,5,4,21515449
1,2,5,7,5,21519563
5,5,7,5,5,21522148
2,3,3,3,5,21526990
3,3,5,3,7,21528045
2,2,7,1,5,21534057
5,5,7,2,6,21537018
1,1,9,7,4,21539994
1,1,9,6,5,21541249
2,2,2,4,5,21541361
1,1,9,7,6,21542369
2,2,9,5,2,21544153
1,1,9,6,2,21544300
4,2,8,6,5,21544594
1,1,8,7,6,21547517
2,2,1,2,1,21547706
1,2,6,3,4,21552509
1,1,6,2,3,21554094
2,2,8,7,3,21557101
1,1,8,5,6,21557468
1,1,8,7,3,21558303
2,3,7,5,2,21563616
5,4,8,5,5,21564845
5,5,4,5,6,21565877
1,1,9,5,3,21570648
5,3,3,3,7,21573246
3,2,6,5,6,21574771
5,4,3,2,6,21575022
2,3,7,6,2,21582530
5,5,6,7,6,21583245
5,5,3,2,7,21584691
5,5,2,3,6,21591668
5,5,6,3,7,21593605
1,1,9,5,3,21595709
2,1,8,5,2,21596059
4,4,6,6,5,21597324
5,5,8,5,3,21597551
5,5,3,3,6,21598973
2,2,6,5,2,21602790
1,1,8,6,3,21605769
1,2,7,5,4,21606307
2,2,8,6,3,21609524
2,2,7,5,2,21611871
1,1,5,6,2,21617508
2,3,5,3,4,21620452
4,4,5,3,6,21621639
5,4,5,2,6,21632781
5,5,9,5,5,21634444
4,3,8,2,1,21635221
1,1,4,3,1,21636761
1,2,6,5,3,21637985
3,3,4,2,3,21638542
1,1,8,6,2,21639010
5,5,6,2,6,21642052
1,1,9,5,2,21643226
1,1,6,6,2,21644056
3,2,9,3,1,21644784
2,3,9,7,4,21644904
1,2,8,6,3,21646147
1,1,8,5,3,21646474
2,2,7,4,5,21648198
5,5,4,5,7,21651711
5,5,4,2,5,21651955
5,1,8,6,2,21652194
5,5,1,3,5,21652735
1,2,2,3,2,21653562
1,1,8,6,3,21655885
1,1,8,6,2,21656138
4,3,1,2,2,21657758
2,1,9,5,5,21659360
1,1,8,5,5,21660619
1,1,4,5,2,21663523
2,5,3,2,5,21665110
1,1,9,7,3,21666293
2,2,9,6,3,21667276
5,4,6,6,2,21667295
2,3,3,3,6,21669557
1,1,7,4,1,21676293
1,1,8,6,2,21679131
2,2,5,6,6,21679539
4,3,3,5,6,21680311
3,2,6,3,4,21680347
5,5,5,2,4,21680444
2,3,8,4,3,21683072
5,1,2,6,3,21689161
3,2,5,2,5,21689341
2,1,2,4,4,21693356
1,1,7,4,3,21697616
1,1,5,5,2,21700839
5,5,3,3,5,21704662
1,1,9,7,3,21705806
5,5,6,5,5,21709395
5,5,4,5,6,21714421
3,3,4,5,3,21715596
1,1,6,4,5,21717828
1,1,5,3,3,21720108
1,1,1,2,4,21720412
5,5,3,5,5,21720450
1,1,9,7,6,21721539
1,1,8,6,3,21723141
5,5,5,2,7,21724263
1,1,8,5,5,21726352
5,5,6,3,7,21726420
4,3,5,5,2,21731150
5,5,6,5,6,21733300
4,4,1,1,1,21734563
1,1,9,6,4,21736728
5,5,6,5,6,21737235
5,5,6,3,7,21737712
1,1,5,6,3,21739400
1,2,7,5,2,21742096
5,5,7,3,6,21743181
1,1,9,6,5,21743791
1,1,6,6,6,21744809
5,5,8,5,7,21745968
4,3,5,1,3,21746373
5,5,2,4,5,21750684
1,1,6,4,4,21752402
5,5,4,3,7,21755771
5,5,6,6,6,21757506
1,1,8,7,6,21758007
5,5,8,6,6,21760052
5,3,7,6,5,21761156
1,1,5,5,2,21769712
1,1,9,6,3,21770397
2,2,1,1,3,21774256
5,5,4,2,6,21775022
3,2,2,4,4,21779843
1,1,4,5,4,21780415
1,1,7,5,5,21781251
1,1,3,1,4,21783427
5,4,9,5,3,21784897
5,5,9,4,6,21785969
5,5,3,2,6,21788754
1,1,9,6,2,21792544
3,1,6,2,1,21794782
2,2,5,3,3,21796576
3,3,7,2,5,21797827
2,2,8,5,3,21798844
4,3,7,5,4,21800059
1,1,8,5,2,21804393
1,1,2,2,2,21804712
4,4,7,3,6,21807446
4,4,1,4,3,21811106
1,1,6,6,3,21812587
4,4,7,3,6,21813587
5,5,6,4,4,21814335
3,2,4,2,5,21816168
1,1,6,7,5,21817650
5,5,1,1,2,21817796
1,1,7,5,4,21818985
5,5,7,5,6,21821065
1,1,6,4,3,21822728
2,3,9,5,6,21824693
1,1,9,6,5,21825816
1,1,4,3,6,21828577
1,1,8,5,2,21829697
5,5,9,6,6,21830163
1,1,5,4,2,21830585
4,3,6,5,6,21833214
5,5,6,5,7,21833765
1,1,8,7,4,21835632
5,5,6,3,6,21836089
2,2,1,3,4,21838287
1,2,9,5,4,21839819
1,1,9,3,1,21840122
5,5,5,5,7,21841992
3,3,1,4,1,21843338
2,2,9,7,3,21843536
1,1,7,3,6,21846727
5,5,8,6,6,21848178
3,4,3,5,6,21850982
1,1,5,5,3,21851690
1,1,7,5,2,21855008
4,3,8,5,5,21856001
1,1,8,4,5,21858329
1,1,7,6,3,21862949
5,5,9,5,5,21864563
2,2,6,5,6,21868153
1,1,6,6,2,21876245
1,1,6,3,5,21881897
5,5,4,5,7,21884074
4,4,5,5,6,21885378
1,1,6,3,2,21885890
5,5,7,4,7,21886746
1,1,7,5,5,21891789
1,1,6,5,2,21892116
5,5,5,6,6,21896448
5,5,9,7,6,21897797
1,2,7,5,3,21901939
1,1,5,7,2,21902053
1,1,8,6,6,21902438
1,1,6,5,6,21903304
1,1,9,7,2,21905615
1,1,4,3,3,21906110
2,2,1,6,3,21908332
5,5,2,2,7,21909040
3,1,2,5,2,21910340
5,5,3,1,1,21912584
5,5,2,5,6,21913456
1,1,6,6,7,21915440
5,3,8,5,6,21918776
2,1,7,5,6,21926234
