AGE7,SU_ID,ECON6A_2,ECON6C_2,ECON5A_B2,GENDER2,RACETH2,P_DENSE2,question
2,20047319,Applied,Received,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20047734,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
2,20048355,Tried to apply,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,ECON7_8
2,20053883,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
6,20055119,Received,Did not apply,Never true,Male,"Black, non-Hispanic",Urban,ECON7_1
6,20056794,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
2,20060318,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
2,20065523,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20066348,Applied,Did not apply,Often true,Female,"White, non-Hispanic",Urban,ECON7_8
6,20072221,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,20072393,Received,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,"ECON7_3, ECON7_5"
5,20073494,Applied,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3, ECON7_5"
5,20077344,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,20078282,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,20078308,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Rural,"ECON7_1, ECON7_2, ECON7_3"
6,20080697,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
7,20083966,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,"ECON7_1, ECON7_3"
3,20084101,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_3
6,20085713,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_3
7,20087194,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
5,20087320,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
2,20093058,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
4,20095000,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_3
4,20101549,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,"ECON7_2, ECON7_3"
5,20101594,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_3
5,20106652,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,20108463,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
5,20108962,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20109294,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_7
2,20118797,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
3,20119954,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20120958,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20121770,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,20124861,Did not apply,Did not apply,Often true,Female,"Black, non-Hispanic",Urban,"ECON7_3, ECON7_4"
5,20124960,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,"ECON7_1, ECON7_3"
4,20125494,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
1,20126934,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,20130184,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
5,20131440,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_2
5,20131613,Tried to apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_3
6,20132030,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_2
5,20132189,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,20132995,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20142095,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Rural,ECON7_SKP
6,20144098,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
7,20146062,Received,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_4, ECON7_5"
6,20152723,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20153850,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,20154092,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Urban,ECON7_8
2,20154254,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20155161,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,20158475,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,"ECON7_3, ECON7_5"
7,20161929,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20163406,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,20163800,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
5,20166171,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Urban,ECON7_8
5,20166993,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_1
1,20167647,Did not apply,Did not apply,Never true,Male,"Black, non-Hispanic",Urban,ECON7_3
4,20168583,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_2, ECON7_3"
3,20172223,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,20173105,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_1, ECON7_3"
1,20174234,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_2
6,20174983,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
4,20177718,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
5,20181783,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
1,20183799,Applied,Did not apply,Sometimes true,Male,"Black, non-Hispanic",Urban,ECON7_8
3,20188382,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
2,20189138,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
2,20192961,Did not apply,Did not apply,Sometimes true,Female,"Other, non-Hispanic",Urban,ECON7_8
6,20193221,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20194032,Did not apply,Tried to apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_8
3,20200957,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,20204532,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_5
2,20205550,Did not apply,Did not apply,Often true,Female,Hispanic,Urban,ECON7_8
3,20206447,Tried to apply,Did not apply,Never true,Female,Hispanic,Urban,"ECON7_2, ECON7_3"
5,20207263,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
1,20210026,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_8
7,20210406,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
4,20211056,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
5,20214855,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,20218232,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20220963,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
6,20223400,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
5,20223566,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,20224688,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3, ECON7_4"
5,20225205,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
5,20227428,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
4,20227851,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_3, ECON7_7"
6,20228217,Tried to apply,Did not apply,Never true,Male,"Black, non-Hispanic",Urban,"ECON7_2, ECON7_4, ECON7_5, ECON7_7"
5,20232920,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,20234124,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20236677,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
1,20238398,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,20241142,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,20242572,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,20244419,Did not apply,Applied,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
3,20250703,Did not apply,Did not apply,Often true,Female,Hispanic,Urban,ECON7_8
4,20265972,Did not apply,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Suburban,ECON7_3
2,20266786,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_3
3,20267442,Did not apply,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,"ECON7_3, ECON7_6"
7,20267586,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
3,20268232,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
5,20270309,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
1,20271495,Did not apply,Did not apply,Sometimes true,Female,Hispanic,Urban,ECON7_8
2,20275253,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
1,20279154,Did not apply,Did not apply,Sometimes true,Female,Hispanic,Urban,ECON7_8
6,20283675,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,20287564,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
5,20290252,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
1,20291985,Applied,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_5"
3,20292030,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,20293840,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,20294553,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_1
5,20294802,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20297247,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_1
6,20301902,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,20307245,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20313751,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,20314848,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_8
3,20315205,Did not apply,Received,Sometimes true,Female,"White, non-Hispanic",Urban,ECON7_8
3,20318387,Did not apply,Did not apply,Often true,Male,"Black, non-Hispanic",Urban,ECON7_8
4,20321873,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20322362,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,20325701,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_3
5,20326929,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_2
5,20329165,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20331458,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
5,20333062,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_2, ECON7_3"
6,20334086,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,20340132,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20342004,Applied,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
4,20347276,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,"ECON7_2, ECON7_3"
7,20352559,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
2,20352921,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_8
7,20352934,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_DK
2,20355635,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_2
5,20356247,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_2
7,20357241,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
2,20358808,Did not apply,Did not apply,Often true,Male,"White, non-Hispanic",Urban,ECON7_8
5,20359812,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
1,20360575,Did not apply,Did not apply,Sometimes true,Female,Hispanic,Urban,ECON7_8
7,20363678,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,20370124,Applied,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,ECON7_8
2,20371061,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
4,20371184,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,20374004,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,20378574,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
2,20381017,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Suburban,ECON7_3
5,20383433,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,20390261,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
6,20392666,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,20395708,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20399800,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,20404803,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,20413629,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_5
6,20417101,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_8
6,20419600,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,20426730,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3, ECON7_4"
4,20430416,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20430934,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,20433502,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Rural,"ECON7_1, ECON7_3"
1,20435570,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
7,20436953,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_3
6,20439418,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,20443534,Tried to apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_2, ECON7_3"
4,20448814,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2"
7,20449318,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,20449860,Did not apply,Did not apply,Often true,Male,Hispanic,Urban,"ECON7_4, ECON7_5"
3,20452005,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3"
5,20452014,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_2, ECON7_3, ECON7_7"
3,20453432,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
4,20454434,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,20454436,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
1,20459465,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
6,20462462,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Suburban,ECON7_3
6,20465780,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_8
2,20477409,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
6,20478730,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_2
7,20479016,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,ECON7_1
3,20481581,Received,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,20482830,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,20484418,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_8
6,20484451,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_1
5,20484856,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,20487124,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20488686,Did not apply,Did not apply,Never true,Male,Hispanic,Rural,ECON7_8
6,20489976,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,20491864,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
5,20492578,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20495244,Did not apply,Did not apply,Sometimes true,Female,"Black, non-Hispanic",Urban,ECON7_8
3,20498019,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
2,20499418,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
2,20504901,Did not apply,Did not apply,Often true,Male,"Black, non-Hispanic",Urban,ECON7_3
6,20505139,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,20505529,Did not apply,Did not apply,Never true,Female,"Black, non-Hispanic",Urban,ECON7_3
7,20507271,Did not apply,Did not apply,Often true,Male,Hispanic,Urban,ECON7_8
2,20507314,Did not apply,Did not apply,Sometimes true,Female,"White, non-Hispanic",Suburban,ECON7_8
5,20509809,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,20513987,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
2,20518191,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
2,20518271,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
6,20518794,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
6,20527034,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,20531751,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20532002,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
4,20533502,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_2
6,20534877,Applied,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
4,20538793,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,20539836,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_2
3,20540224,Received,Did not apply,Often true,Female,Hispanic,Urban,"ECON7_6, ECON7_7"
5,20540229,Did not apply,Did not apply,Sometimes true,Male,"Black, non-Hispanic",Urban,ECON7_8
7,20541704,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
3,20548691,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
6,20549289,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,ECON7_1
2,20551455,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_1
2,20554295,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_3
4,20554436,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_3
3,20556864,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
2,20563952,Did not apply,Applied,Often true,Female,"Black, non-Hispanic",Urban,ECON7_7
6,20564075,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
3,20565928,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_3, ECON7_5"
4,20567297,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_8
5,20567394,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_3
5,20570386,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_5
4,20571238,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
5,20574025,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Rural,"ECON7_3, ECON7_5, ECON7_7"
5,20575805,Did not apply,Did not apply,Sometimes true,Male,"White, non-Hispanic",Urban,ECON7_8
2,20577011,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,"ECON7_3, ECON7_5, ECON7_7"
5,20578026,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,"ECON7_1, ECON7_5"
1,20579675,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_3
2,20579998,Received,Applied,Never true,Female,"White, non-Hispanic",Urban,ECON7_8
2,20580312,Did not apply,Did not apply,Sometimes true,Female,Hispanic,Suburban,ECON7_8
2,20582456,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
5,20586122,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_1
5,20586948,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_1
4,20587336,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,"ECON7_1, ECON7_3"
7,20590862,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Suburban,"ECON7_1, ECON7_3"
3,20594180,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
4,20594946,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Suburban,ECON7_3
6,20597219,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_1
3,20598331,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,ECON7_3
3,20598667,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3, ECON7_4"
3,20600365,Did not apply,Did not apply,Never true,Female,"Other, non-Hispanic",Urban,ECON7_3
6,20601177,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
7,20605016,Did not apply,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_REF
2,20605656,Did not apply,Did not apply,Never true,Female,Hispanic,Urban,ECON7_8
3,20608455,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_3
2,20612228,Did not apply,Did not apply,Never true,Male,"Other, non-Hispanic",Urban,ECON7_1
5,20612809,Did not apply,Did not apply,Never true,Male,Hispanic,Urban,ECON7_3
2,20615616,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Rural,ECON7_3
7,20615999,Did not apply,Did not apply,Never true,Male,"White, non-Hispanic",Urban,"ECON7_1, ECON7_3"
3,20616091,Received,Did not apply,Never true,Female,"White, non-Hispanic",Urban,ECON7_2
